Tunnus,RMSE (pred_app),RMSE (pred_app_noemo),"Suhteline viga (pred_app, %)","Suhteline viga (pred_app_noemo, %)"
Äkilisus,1.2679,1.2372,41.21,40.21
Tuttavlikkus,1.6525,1.6196,62.27,61.03
Ennustatud_sündmus,1.4571,1.3301,50.51,46.11
Meeldivus,1.13,1.1163,44.92,44.38
Ebameeldivus,1.1767,1.2184,36.95,38.26
Eesmärgi_olulisus,1.6548,1.7497,54.74,57.88
Vastuse_tõenäosus,1.465,1.5342,59.7,62.52
Enesereageerimine,1.2679,1.2649,45.53,45.42
Muu_vastus,1.4412,1.4438,47.43,47.52
Ennustatud_nõusolek,1.6148,1.5665,55.24,53.59
Eesmärgi_toetus,1.3812,1.4033,53.28,54.13
Kiireloomulisus,1.6243,1.7142,52.27,55.16
Enesekontroll,1.4702,1.4033,56.88,54.29
Muu_kontroll,1.5038,1.5836,44.84,47.22
Tähelepanu_tõenäosus,1.4142,1.4412,64.06,65.28
Aktsepteerimine,1.8292,1.8626,61.29,62.41
Kontrolli_norm,2.2921,2.2702,86.62,85.79
Sotsiaalsed_normid,2.4274,2.548,137.2,144.02
Tähelepanu,1.6664,1.6502,46.69,46.23
Mitte_arvestus,2.0736,1.9846,83.72,80.12
Pingutus,1.4358,1.3978,44.34,43.16
